Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
dateveilig com,48,48,40,58.38,0.00,https://socialbrothers.nl/de-macht-van-google-2/,0,0,0.00,0,51700,"[0,0,0,0,0,0,0,0,0,100,0,0]",1591209030,"Reviews, Video, FAQ"
hoe werkt rabo wallet,48,48,140,85.19,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.01,88,"[19,19,35,54,54,65,81,100,42,65,65,100]",1591209635,"Image pack, Reviews, Video Carousel"
mobiele pas ing,48,48,260,91.88,1.27,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.03,1440000,"[100,54,66,81,54,66,54,19,12,15,15,15]",1591136784,"Image pack, Reviews, Video, Video Carousel"
icon specialist,48,48,40,74.29,0.00,https://socialbrothers.nl/dienst/seo/,0,0,0.00,0,370000000,"[0,0,100,0,0,0,0,50,0,0,0,50]",1591392331,"Image pack, Reviews"
wat betekent augmented reality,48,48,40,73.25,0.38,https://socialbrothers.nl/voordelen-van-e-learning-met-augmented-reality-ar-learning/,0,0,0.00,0.43,102000000,"[20,20,20,20,100,20,20,80,20,20,20,20]",1590370872,"Site links, Reviews, Featured snippet, Video Carousel"
marketing prezi,48,48,90,83.98,0.00,https://socialbrothers.nl/prezi-social-brothers/,0,0,0.00,0,6930000,"[20,100,20,0,0,0,40,40,20,0,0,0]",1591209021,"Image pack, Site links, Reviews, Video, Video Carousel"
webshop veritas,48,48,50,66.4,0.00,https://socialbrothers.nl/twee-praktische-manieren-om-ar-toe-te-passen-in-jouw-bedrijf-remote-assistance-en-e-learning/,0,0,0.00,0,910000,"[0,0,0,0,0,0,100,0,0,0,0,100]",1591239612,"Knowledge panel, Site links, Reviews, Video, Shopping ads"
smartphone als pinautomaat,49,49,90,77.53,2.29,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.98,97,"[50,50,50,50,50,50,50,50,50,50,50,100]",1591239633,"Image pack, Reviews, Video, Featured snippet, AdWords top, Shopping ads, Video Carousel, FAQ"
uber nederland,49,51,1600,90.05,0.58,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.09,9640000,"[67,79,100,67,79,67,54,79,79,54,67,37]",1591540924,"Image pack, Reviews"
tikkie deutschland,49,49,50,67.16,0.00,https://socialbrothers.nl/social-brothers-deutschland/,0,0,0.00,0.01,122000,"[14,71,71,43,100,14,14,14,71,14,14,14]",1590541857,"Image pack, Reviews, Video, Image"
hoe kun je een app maken,49,49,50,67.02,0.96,https://socialbrothers.nl/hoe-lanceer-ik-een-voice-app/,0,0,0.00,0.6,140000000,"[50,50,25,25,25,25,25,25,50,75,100,25]",1588927227,"Site links, Reviews, Video Carousel"
met telefoon betalen ing,49,49,210,90.36,3.56,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.24,1590000,"[54,65,81,100,100,65,100,100,81,65,81,65]",1588642342,"Image pack, Site links, Reviews, Video, AdWords top, Video Carousel"
hoe werkt apple pay rabobank,49,49,260,91.37,2.18,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.01,953000,"[0,0,0,0,0,2,2,100,6,5,5,5]",1591136535,"Image pack, Reviews, Video Carousel"
you are on the road,49,49,90,93.41,0.00,https://socialbrothers.nl/our-road-to-germany/,0,0,0.00,0,16270000000,"[0,100,0,100,100,0,100,0,0,0,0,0]",1590448406,"Instant answer, Reviews, Video Carousel, FAQ"
google merchandise store analytics,49,49,50,70.09,0.00,https://socialbrothers.nl/google-analytics-waar-kijk-je-naar/,0,0,0.00,0.01,11600000,"[100,71,14,14,43,14,29,43,29,57,14,14]",1591480020,"Site links, Video Carousel, People also ask"
mockup snapchat,49,49,40,71.51,0.00,https://socialbrothers.nl/chatbots/blank-whitepaper-mockup/,0,0,0.00,0,1510000,"[20,20,20,0,0,0,20,0,100,20,40,20]",1590539465,"Image pack, Reviews, Video"
e learning google analytics,49,49,50,73.76,0.00,https://socialbrothers.nl/google-analytics-waar-kijk-je-naar/,0,0,0.00,0,989000000,"[33,33,100,33,0,33,33,0,0,0,0,0]",1588822329,"Image pack, Site links, Reviews, Video, AdWords top, People also ask"
restaurant de ar,49,49,90,81.3,0.00,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,0,0,0.00,0,474000000,"[33,33,67,33,33,100,33,33,67,100,33,33]",1589823910,"Knowledge panel, Image pack, Site links, Reviews, Video, FAQ"
ing smartphone app,49,49,90,88.72,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,26800000,"[50,0,50,50,0,100,50,100,50,50,50,50]",1589033454,"Image pack, Reviews, Video, Video Carousel"
amazon alexa in dutch,50,50,90,77.75,0.00,https://socialbrothers.nl/alexa-hoe-ziet-jouw-toekomst-eruit/,0,0,0.00,0.67,511000000,"[20,20,20,40,20,40,20,20,20,20,20,100]",1588974987,"Site links, Reviews, Featured snippet, AdWords top, Shopping ads, Video Carousel"
ing betalen met je mobiel,50,50,110,91.19,2.19,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.35,187000,"[5,10,23,36,36,100,23,10,18,36,44,23]",1591100567,"Image pack, Site links, Reviews, AdWords top, Video Carousel, FAQ"
hoe werkt contactloos betalen ing,50,50,40,84.23,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,40800,"[3,3,16,3,3,6,3,3,6,3,3,100]",1591332121,"Reviews, Featured snippet, AdWords top, Video Carousel"
offline cms,50,50,90,60.02,0.00,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.00,0.03,38500000,"[11,78,33,56,22,11,11,22,100,11,11,33]",1588743059,"Site links, Reviews, FAQ"
ing betalen nfc,50,50,50,91.67,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,4820000,"[20,20,20,20,20,100,40,40,20,20,20,20]",1588900540,"Image pack, Reviews, Video Carousel"
website development blog,50,50,90,62.1,0.00,https://socialbrothers.nl/dienst/website-development/,0,0,0.00,0,1940000000,"[0,0,11,0,0,22,0,0,22,100,56,0]",1588866238,Site links
parkmobile app,50,58,1600,87.7,0.49,https://socialbrothers.nl/parkmobile-scoort-punten-met-communicatieblunder/,0,0,0.00,0.28,518000,"[42,54,67,79,67,42,100,79,54,54,79,42]",1591522643,"Reviews, Video Carousel"
cross icon,50,50,390,82.89,0.00,https://socialbrothers.nl/waar-moet-ik-opletten-bij-cross-domain-tracking/,0,0,0.00,0,2080000000,"[29,44,54,67,67,100,100,100,81,81,81,100]",1591135434,"Image pack, Reviews, Video Carousel"
werken met influencers,50,50,90,60.84,0.00,https://socialbrothers.nl/10-quotes-van-influencers-over-werken-in-de-cloud/,0,0,0.00,0.18,660000,"[43,14,29,57,14,14,29,29,14,14,14,100]",1589834353,"Reviews, Video Carousel, FAQ"
steve jobs office,50,50,70,86.24,0.00,https://socialbrothers.nl/10-quotes-van-influencers-over-werken-in-de-cloud/109939-steve-jobs-takes-the-stage-to-discuss-the-icloud-service-at-the-apple/,0,0,0.00,0,314000000,"[11,56,100,11,56,11,22,11,11,56,44,78]",1591103332,"Image pack, Reviews, Video, Video Carousel"
tennisspeciaalzaak utrecht,50,50,70,62.36,0.00,https://socialbrothers.nl/portf/tennis-toko/,0,0,0.00,0,55,"[60,20,20,20,20,20,20,100,20,20,20,20]",1590359395,"Local pack, Image pack, Reviews, Video"
alexa nederland,50,50,590,82.13,0.47,https://socialbrothers.nl/alexa-hoe-ziet-jouw-toekomst-eruit/,0,0,0.00,0.72,2290000,"[100,100,55,55,44,44,44,55,67,55,44,67]",1591136536,"Image pack, Site links, Reviews, Shopping ads, Video Carousel"
facebook landing page app,50,50,40,63.89,0.00,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,0,0,0.00,0,121000000,"[0,0,0,0,0,0,0,100,0,0,0,33]",1589891564,"Image pack, Reviews, Video Carousel, FAQ"
blog landing page,50,50,70,65.94,2.28,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,0,0,0.00,0.43,231000000,"[100,11,11,11,11,11,11,22,22,11,11,11]",1591350015,"Image pack, Site links, Reviews, Video Carousel, FAQ"
bloomreach,50,51,720,72.44,1.30,https://socialbrothers.nl/portf/een-efficientere-customer-journey-voor-bloomreach/,0,0,0.00,0.21,345000,"[72,72,59,72,59,72,100,88,59,72,59,59]",1591516065,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
instagram vs real life,50,50,110,84.74,0.00,https://socialbrothers.nl/social-media-vs-real-life/,0,0,0.00,0,4010000000,"[53,41,53,65,65,100,65,65,65,53,65,65]",1589999376,"Image pack, Video Carousel"
wat zijn de trends van 2019,50,50,50,86.43,0.00,https://socialbrothers.nl/wat-maakt-een-goede-werken-bij-website-2/,0,0,0.00,0,104000000,"[20,20,100,100,60,20,20,80,60,20,40,60]",1588559272,Reviews
hoe veilig is de ing app,50,50,70,90.13,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.01,888000,"[14,43,29,100,14,29,14,14,14,43,14,14]",1590755995,"Image pack, Site links, Reviews, Featured snippet, Video Carousel, FAQ"
rabobank pas vervangen,50,50,70,89.42,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,272000,"[7,7,7,7,14,100,100,7,50,7,7,50]",1591285519,"Image pack, Reviews, Featured snippet, Video Carousel"
zo werkt excel,50,55,50,72.7,0.00,https://socialbrothers.nl/excel-ellende-en-de-oplossing/,0,0,0.00,0.14,959000,"[25,25,25,50,100,25,25,25,25,25,25,25]",1591559705,"Image pack, Site links, Reviews, AdWords top, Video Carousel, FAQ"
betalen met je smartphone,50,50,70,86.23,0.69,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.12,14300000,"[2,8,5,29,100,2,5,3,2,2,2,2]",1591121104,"Site links, Reviews, Featured snippet, Video Carousel, FAQ"
studentportal hku,51,51,210,71.11,1.04,https://socialbrothers.nl/de-hololens-bij-de-hku/,0,0,0.00,0.01,52,"[54,54,54,67,28,44,100,67,54,44,82,54]",1589575566,"Image pack, Site links, Reviews"
kenbri,51,51,1000,75.34,1.33,https://socialbrothers.nl/screenshot3-kenbri/,0,0,0.00,0.04,73,"[63,55,55,55,45,55,63,55,55,81,100,63]",1591468372,"Knowledge panel, Image pack, Site links, Reviews, Tweet, Video Carousel"
backpacken iran,51,51,70,68.79,0.00,https://socialbrothers.nl/toine-van-iran-naar-de-maliebaan/,0,0,0.00,0.04,77,"[22,100,100,44,100,22,56,22,11,11,11,78]",1589740607,"Image pack, Reviews, Video"
cross domain tracking google analytics,51,51,50,65.82,4.92,https://socialbrothers.nl/waar-moet-ik-opletten-bij-cross-domain-tracking/,0,0,0.00,0.12,12300000,"[11,11,33,11,100,33,56,11,11,11,11,44]",1591465588,"Site links, Reviews, Video Carousel, People also ask"
rabo tikkie app,51,51,70,92.77,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/rabo_wallet_phone/,0,0,0.00,0,93,"[14,14,43,14,14,43,14,29,14,100,100,14]",1589960204,"Image pack, Reviews, Video Carousel"
bart smit utrecht,51,51,210,81.62,0.00,https://socialbrothers.nl/6-conversieverhogende-technieken/schermafdruk-2016-11-10-10-24-18/,0,0,0.00,0,931000,"[53,81,81,81,66,66,53,81,100,53,44,44]",1591284608,"Knowledge panel, Image pack, Site links, Video"
werken spar,51,51,50,74.27,0.16,https://socialbrothers.nl/social-brothers-gaat-voedselverspilling-tegen-met-spar/,0,0,0.00,0.17,2330000,"[25,100,25,25,25,75,75,25,25,25,50,25]",1589959876,"Local pack, Image pack, Site links, Reviews"
how to check cross domain tracking in google analytics,51,0,40,60.92,0.00,https://socialbrothers.nl/waar-moet-ik-opletten-bij-cross-domain-tracking/,0,0,0.00,0.29,33300000,"[14,0,71,0,0,0,0,100,14,43,14,14]",1591514388,"Image pack, Site links, Featured snippet, AdWords top, Video Carousel, People also ask"
hamburger blog,51,51,40,67.55,0.00,https://socialbrothers.nl/complexion-reduction-in-het-design-van-apps-intuitief-clean-en-minimalistisch/hamburger-into-stripes/,0,0,0.00,0.02,312000000,"[29,14,0,14,0,100,0,0,14,14,14,14]",1591209017,"Site links, Video, Image"
b2b webshop tips,51,51,50,62.34,5.48,https://socialbrothers.nl/hoe-bouw-ik-een-b2b-webshop/,0,0,0.00,0.9,250000,"[0,11,33,78,100,11,22,22,11,11,56,11]",1588890832,"Site links, Reviews, Video, AdWords bottom"
betalen met tikkie,51,51,390,84.79,0.94,https://socialbrothers.nl/portf/met-een-tikkie-betalen-bij-spar-university/,0,0,0.00,0.04,619000,"[36,44,44,55,30,36,36,55,36,36,30,100]",1591137234,"Image pack, Site links, Reviews, Featured snippet, Video Carousel"
windows mixed reality brille,51,51,70,85.83,0.00,https://socialbrothers.nl/mixed-reality-hololens/,0,0,0.00,1,322000,"[0,0,100,0,0,0,33,33,0,0,0,33]",1589506268,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads, Video Carousel"
coolblue promoties,51,51,90,73,0.00,https://socialbrothers.nl/hoe-spannend-is-het-eigenlijk-dat-amazon-naar-nederland-komt/,0,0,0.00,0.03,86,"[20,20,20,20,40,20,40,20,20,40,100,60]",1591239672,"Image pack, Site links, Reviews, FAQ"
employer branding plan,51,51,50,68.66,2.74,https://socialbrothers.nl/waarom-een-sterke-employer-branding-onmisbaar-is/,0,0,0.00,0.6,25700000,"[29,14,14,14,14,100,14,57,14,14,14,29]",1591209033,"Image pack, Site links"
ing betalen met telefoon werkt niet,51,51,70,89.76,0.16,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.1,5940000,"[0,0,0,0,0,0,0,25,25,100,25,25]",1590204818,"Image pack, Reviews, Video Carousel"
voice,52,0,5400,90.9,0.40,https://socialbrothers.nl/hoe-lanceer-ik-een-voice-app/,0,0,0.00,0.01,1600000000,"[45,30,24,24,24,30,36,82,45,67,100,36]",1591564271,"Knowledge panel, Top stories, Reviews, Video Carousel"
ing mobiel contactloos betalen,52,52,70,87.78,2.14,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.29,23100,"[14,14,14,57,29,14,14,14,100,14,14,71]",1591121716,"Image pack, Site links, Reviews, Video Carousel"
tikkie geen verbinding,52,52,110,85.93,0.00,https://socialbrothers.nl/portf/met-een-tikkie-betalen-bij-spar-university/,0,0,0.00,0,32400,"[5,3,3,3,3,3,67,67,82,100,36,13]",1589898691,"Reviews, Video, FAQ"
google music vs spotify,52,52,110,86.25,1.35,https://socialbrothers.nl/spotify-vs-apple-music-en-de-rest/,0,0,0.00,0.05,353000000,"[79,79,100,64,79,79,64,79,64,64,64,50]",1588930245,"Reviews, Featured snippet, Video Carousel, People also ask"
hoe maak ik mijn smartphone leeg,52,52,40,85.26,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,1400000,"[71,14,14,14,14,100,0,14,14,14,14,29]",1590007092,"Image pack, Site links, Reviews, Video Carousel"
rabo wallet betalen,52,52,50,85.51,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/rabo_wallet_phone/,0,0,0.00,0,545000,"[11,11,22,44,11,11,22,11,11,11,22,100]",1591253510,"Image pack, Reviews, Video Carousel"
spar nieuwsbrief,52,52,50,81.88,0.00,https://socialbrothers.nl/social-brothers-gaat-voedselverspilling-tegen-met-spar/,0,0,0.00,0.14,244000,"[0,0,0,0,0,0,0,0,0,0,100,100]",1589391869,"Local pack, Image pack, Site links, Reviews"
linteloo george,52,52,170,72.65,0.35,https://socialbrothers.nl/portf/linteloo/,0,0,0.00,1,53,"[43,43,52,43,81,81,81,100,81,100,100,81]",1590994091,"Knowledge panel, Image pack, FAQ"
snapchat desktop,52,52,170,81.05,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,0,0,0.00,0,43400000,"[100,82,100,82,82,82,100,100,100,100,100,100]",1590028415,"Site links, Reviews, Video, Video Carousel"
brothers of love,52,52,50,83.02,0.00,https://socialbrothers.nl/,0,0,0.00,0,937000000,"[14,71,14,14,0,0,71,0,14,14,43,100]",1589906612,"Image pack, Reviews, Video"
bloomreach wiki,52,52,40,78.08,0.00,https://socialbrothers.nl/portf/tennis-toko/,0,0,0.00,0.07,84,"[14,14,14,100,14,14,14,57,14,14,14,14]",1590172342,"Image pack, Site links, Reviews"
google variant,53,53,70,93.49,0.00,https://socialbrothers.nl/5-redenen-om-nu-in-te-stappen-in-virtual-reality/google-earth-komt-met-virtual-reality-variant/,0,0,0.00,0,341000000,"[20,0,0,0,20,20,0,0,20,100,40,20]",1590233873,Reviews
google cross,53,53,50,87.33,0.00,https://socialbrothers.nl/waar-moet-ik-opletten-bij-cross-domain-tracking/,0,0,0.00,0.5,3950000000,"[14,29,100,14,0,57,14,14,43,29,14,43]",1588852040,"Image pack, Reviews, Video Carousel"
abp klantenservice,53,53,90,77.26,0.00,https://socialbrothers.nl/5-redenen-om-whatsapp-te-gebruiken-als-klantenservice/,0,0,0.00,0.01,23300,"[27,35,27,27,27,27,19,35,42,35,65,100]",1590710668,"Image pack, Reviews"
snapchat pc,53,53,480,79.23,0.44,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0.03,107000000,"[100,100,100,100,66,81,100,81,81,66,81,81]",1591147760,"Site links, Reviews, Video Carousel"
seo score,53,53,140,61.96,1.39,https://socialbrothers.nl/dienst/seo/,0,0,0.00,0.22,66200000,"[67,52,43,52,43,67,67,67,52,100,81,100]",1591479445,"Site links, Reviews, Featured snippet, Video Carousel"
nu rotterdam,53,53,320,77.83,0.00,https://socialbrothers.nl/social-brothers-nu-ook-in-rotterdam-te-vinden/,0,0,0.00,0,116000000,"[82,67,100,82,67,82,67,82,82,82,67,100]",1591136385,"Local pack, Top stories, Site links, Reviews, Video, Video Carousel, FAQ"
cms systemen vergelijken,53,53,40,62.44,1.37,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.00,0.2,193000,"[29,100,14,14,14,29,14,14,14,29,29,14]",1589920182,"Site links, Reviews, AdWords top"
bloomreach logo,53,53,90,62.36,2.08,https://socialbrothers.nl/,0,0,0.00,0.08,90,"[14,14,14,29,14,43,14,14,14,100,100,100]",1590271611,"Image pack, Site links, Reviews, Video"
indesign tools weg,53,53,90,72.84,0.00,https://socialbrothers.nl/hoe-kom-ik-aan-creative-content/,0,0,0.00,0.03,1150000,"[11,11,11,100,11,11,11,11,11,11,44,11]",1589964497,"Image pack, Site links, Reviews, Video, Video Carousel"
wat zijn je stats,53,53,50,89.01,0.00,https://socialbrothers.nl/spar-university-app-een-groot-succes/spar-stats/,0,0,0.00,0,2820000,"[75,25,75,50,25,25,25,100,25,25,25,25]",1589704381,"Reviews, Video"
facebook snapchat filters,53,53,90,76.96,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,49100000,"[0,100,0,0,0,0,0,0,0,0,0,0]",1588909205,"Image pack, Reviews, Video Carousel, FAQ"
betalen met mobiel ing,53,53,320,91.8,2.73,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.28,240000,"[29,36,44,44,44,54,54,66,54,66,66,100]",1591143871,"Image pack, Reviews, AdWords top, Video Carousel"
rabobank android pay,53,53,110,88.55,2.39,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.05,279000,"[0,0,0,0,0,0,29,24,100,36,24,19]",1589481109,"Image pack, Site links, Reviews, Video Carousel"
betalen met smartphone,53,53,320,85.24,8.21,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.34,17100000,"[24,44,44,66,54,54,54,66,54,100,66,81]",1591361008,"Site links, Reviews, Featured snippet, Video Carousel, FAQ"
google music v spotify,53,53,40,82.43,0.00,https://socialbrothers.nl/spotify-vs-apple-music-en-de-rest/,0,0,0.00,0,323000000,"[50,0,0,50,0,50,0,0,0,0,100,100]",1590968548,"Reviews, Featured snippet, Video Carousel, People also ask"
gevousvoyeerd,53,53,50,87.61,0.00,https://socialbrothers.nl/wp-content/uploads/2020/05/SEO-Content-template-Social-Brothers-Checklist-1.pdf,0,0,0.00,0,770,"[3,9,3,100,9,16,3,13,3,9,3,3]",1591113477,"Image pack, Site links, Reviews"
ing app mobiel betalen,53,53,70,92.04,1.57,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.1,397000,"[29,14,14,14,29,14,57,57,43,100,100,14]",1589118782,"Image pack, Reviews, Video Carousel"
web winkels,53,53,110,75.64,0.40,https://socialbrothers.nl/dienst/webwinkels/,0,0,0.00,0.52,38600000,"[82,65,65,82,65,53,65,65,100,65,65,65]",1588735767,"Site links, Reviews, AdWords bottom, FAQ"
is mailchimp avg proof,54,54,50,51.4,0.00,https://socialbrothers.nl/mailchimp-opschoning-debuut-b-v/,0,0,0.00,0.43,41000,"[50,50,50,100,50,100,50,50,100,50,50,100]",1590334349,People also ask
snapchat on mac,54,54,140,76.9,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,55600000,"[67,67,67,81,52,43,100,81,67,52,67,67]",1588870065,"Image pack, Reviews, Video Carousel"
hku,54,52,6600,81.78,1.57,https://socialbrothers.nl/de-hololens-bij-de-hku/,0,0,0.00,0.03,10100000,"[82,67,67,36,44,82,82,100,55,100,82,82]",1591552560,"Local pack, Image pack, Site links, Reviews"
end icon,54,54,40,86.5,0.00,https://socialbrothers.nl/waarom-een-headless-cms/,0,0,0.00,0,5170000000,"[33,33,33,100,33,33,67,100,33,33,33,33]",1591099434,"Image pack, Reviews, Video, Video Carousel"
mobiel betalen ing,54,68,1900,91.5,2.69,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.25,227000,"[67,54,67,67,54,67,67,79,79,79,79,100]",1591536655,"Image pack, Site links, Reviews, AdWords top, Video Carousel"
macbook wil niet meer opstarten,54,54,50,78.03,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0,98,"[80,20,40,60,20,40,80,20,100,20,100,60]",1588922300,"Image pack, Featured snippet, Video Carousel"
seo en sea combineren,54,54,50,56.72,0.00,https://socialbrothers.nl/het-complete-handboek-voor-seo/,0,0,0.00,0.14,95,"[0,0,0,0,0,0,0,0,0,0,0,100]",1591152340,"Image pack, Reviews, Featured snippet, FAQ"
website verbeteren,54,54,70,62.33,1.62,https://socialbrothers.nl/seo-verbeteren-op-je-website-10-tips/,0,0,0.00,0.49,40800000,"[36,45,45,45,36,45,64,82,82,100,100,82]",1590442293,"Site links, Reviews"
wat is een mockup,54,66,170,68.9,0.00,https://socialbrothers.nl/tim-mockup/,0,0,0.00,0,2040000,"[67,67,67,52,52,81,81,81,67,100,81,100]",1591497054,"Knowledge panel, Reviews, Video Carousel, FAQ"
tinder ervaring,54,56,1300,78.4,0.46,https://socialbrothers.nl/instagram-met-een-tinder-ervaring/,0,0,0.00,0.41,599000,"[63,63,63,81,100,100,100,100,100,100,81,55]",1591541221,"Image pack, Reviews, Video Carousel, FAQ"
seo nerd erfahrungen,54,54,50,59.47,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0,1230000,"[0,25,0,0,0,0,0,0,0,0,100,0]",1590979965,"Image pack, Reviews, Video, FAQ"
excel logo,54,54,880,75.63,0.00,https://socialbrothers.nl/excel-ellende-en-de-oplossing/excel-ellende/,0,0,0.00,0,653000000,"[25,30,45,55,55,68,77,77,68,100,68,77]",1591136023,"Image pack, Video Carousel"
werken voor uber nederland,54,54,90,84.75,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.21,2130000,"[0,100,100,33,0,33,33,33,33,33,33,100]",1590515568,"Image pack, Site links, Reviews, Video"
het is zover,54,48,590,83.47,0.00,https://socialbrothers.nl/het-is-zover-instagram-business/,0,0,0.00,0.03,17900000,"[67,82,82,82,82,100,100,82,67,82,67,67]",1591529083,"Reviews, Video, Video Carousel"
binnen thermometer app,55,55,70,88.19,0.10,https://socialbrothers.nl/hoe-lanceer-ik-een-voice-app/,0,0,0.00,1,283000,"[19,27,4,4,100,4,4,8,4,4,4,4]",1589219598,"Reviews, Shopping ads"
apple marketingstrategie,55,55,40,79.91,0.00,https://socialbrothers.nl/spotify-vs-apple-music-en-de-rest/apple-music/,0,0,0.00,0,686000,"[0,0,43,14,0,0,14,0,14,0,100,14]",1588887510,"Image pack, Reviews, AdWords top, FAQ"
handboek drupal gratis,55,55,70,63.55,0.00,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.00,0,147000,"[0,0,0,0,0,100,0,0,0,0,0,0]",1591480111,"Image pack, FAQ"
imac reageert niet,55,55,40,82.28,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0.01,92,"[33,33,33,33,100,100,33,33,33,33,33,67]",1591099593,"Image pack, Reviews, Video, Featured snippet, FAQ"
aankomende trends 2019,55,55,70,83.19,0.00,https://socialbrothers.nl/wat-maakt-een-goede-werken-bij-website-2/,0,0,0.00,0,185000,"[50,50,50,100,50,50,100,50,0,0,0,0]",1588899782,Reviews
facebook marketing utrecht,55,55,50,66.39,0.00,https://socialbrothers.nl/,0,0,0.00,0,9210000,"[57,14,43,14,100,0,57,14,14,14,14,14]",1589582296,"Image pack, Site links, Reviews, FAQ"
contactloos betalen ing telefoon,55,55,90,89.63,2.41,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.19,16900,"[14,14,100,14,14,14,14,29,100,14,14,14]",1590809478,"Image pack, Reviews, AdWords top, Video Carousel"
iens podium onder de dom,55,55,40,82.71,0.00,https://socialbrothers.nl/waarom-iens-niets-misdaan-heeft/,0,0,0.00,0,87100,"[0,0,100,0,0,0,0,0,0,0,0,0]",1591220486,"Image pack, Reviews"
wp contact,55,55,90,60.54,0.00,https://socialbrothers.nl/digital-agency-social-brothers-krijgt-een-wordpress-broertje-wp-brothers/,0,0,0.00,0,4690000000,"[14,14,14,0,29,14,29,14,100,14,14,14]",1591239979,"Site links, Reviews, Video"
brothers 2009 online,55,55,40,89.8,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0,181000000,"[0,11,0,11,11,11,11,0,100,0,0,11]",1589792542,"Reviews, Video"
hoe betaal je contactloos met je mobiel,55,55,50,81.97,1.38,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.34,122000,"[14,14,29,14,14,14,100,14,71,14,29,14]",1589398773,"Image pack, Site links, Reviews, Featured snippet, Video Carousel, FAQ"
excel achtergrond,55,55,70,80.85,0.00,https://socialbrothers.nl/excel-ellende-en-de-oplossing/,0,0,0.00,0,470000,"[75,25,25,75,100,25,25,25,25,25,25,25]",1589250717,"Image pack, Video Carousel"
draadloos betalen ing,55,55,50,89.04,1.04,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.2,135000,"[25,25,25,25,25,25,25,25,25,100,25,25]",1590247602,"Image pack, Video Carousel"
inbound marketing specialist hubspot,56,56,90,72.83,0.00,https://socialbrothers.nl/dienst/hubspot/,0,0,0.00,0,453000,"[0,0,0,0,0,0,0,0,100,0,0,0]",1591220080,"Image pack, Reviews, FAQ"
